pitch,attract_gain,drone_repel_gain,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.6,4.0,2.0,closed_33,10,1,0.610726643598616,2600.0,5710,1212120.0,732.9000000000981,0.12976956109257257
1.6,4.0,2.0,closed_33,20,0,0.8771626297577855,8825.0,9709,2424240.0,733.8000000000983,0.264388602570483
1.6,4.0,2.0,closed_33,20,1,0.7854671280276817,7975.0,18140,2424240.0,733.3000000000982,0.18277669285735285
1.6,4.0,5.0,open_33,2,0,0.07388137356919876,0.0,5729,242424.00000000003,618.000000000072,-0.3668906570821422
1.6,4.0,5.0,open_33,2,1,0.047866805411030174,0.0,5596,242424.00000000003,618.000000000072,-0.3941316978777957
1.6,4.0,5.0,open_33,5,0,0.15816857440166493,0.0,13944,606060.0,625.4000000000736,-0.2830409097703618
1.6,4.0,5.0,open_33,5,1,0.1404786680541103,0.0,13972,606060.0,618.000000000072,-0.3010948612418263
1.6,4.0,5.0,open_33,10,0,0.2882414151925078,500.0,27605,1212120.0,625.4000000000736,-0.1594661081362582
1.6,4.0,5.0,open_33,10,1,1.0,21875.0,22982,1078928.5662345993,543.400000000055,0.3103156825639736
1.6,4.0,5.0,open_33,20,0,1.0,23800.0,28345,1353978.3951723448,339.30000000000865,0.33197252256378906
1.6,4.0,5.0,open_33,20,1,1.0,23350.0,21814,1053201.5375772812,264.3999999999916,0.3583340159537798
1.6,4.0,5.0,partial_33,2,0,0.08427672955974842,0.0,3228,242424.00000000003,720.8000000000953,-0.35406756313962773
1.6,4.0,5.0,partial_33,2,1,0.08930817610062892,0.0,1208,242424.00000000003,732.8000000000981,-0.3384826326909617
1.6,4.0,5.0,partial_33,5,0,0.28176100628930817,375.0,7533,606060.0,720.8000000000953,-0.1596806725459847
1.6,4.0,5.0,partial_33,5,1,0.17484276729559747,75.0,4989,606060.0,732.9000000000981,-0.2626019273475342
1.6,4.0,5.0,partial_33,10,0,0.5257861635220126,900.0,13895,1212120.0,726.9000000000967,0.07651807939916513
1.6,4.0,5.0,partial_33,10,1,0.33459119496855344,450.0,10947,1212120.0,732.9000000000981,-0.10952896280728366
1.6,4.0,5.0,partial_33,20,0,0.6955974842767295,7925.0,20115,2424240.0,725.9000000000965,0.1395572998130775
1.6,4.0,5.0,partial_33,20,1,0.5622641509433962,4575.0,18088,2424240.0,732.9000000000981,0.055998063610179366
1.6,4.0,5.0,closed_33,2,0,0.20588235294117646,0.0,814,242424.00000000003,728.000000000097,-0.2002984259084127
1.6,4.0,5.0,closed_33,2,1,0.14705882352941177,0.0,1034,242424.00000000003,734.9000000000985,-0.27459741716168146
1.6,4.0,5.0,closed_33,5,0,0.35121107266435986,225.0,3077,606060.0,731.1000000000977,-0.07933757888616952
1.6,4.0,5.0,closed_33,5,1,0.39273356401384085,400.0,5655,606060.0,734.9000000000985,-0.04843768403882007
1.6,4.0,5.0,closed_33,10,0,0.629757785467128,3225.0,6817,1212120.0,731.5000000000978,0.1335651194325493
1.6,4.0,5.0,closed_33,10,1,0.6089965397923875,2600.0,9368,1212120.0,732.8000000000981,0.121437054124482
1.6,4.0,5.0,closed_33,20,0,0.8546712802768166,8125.0,14995,2424240.0,731.6000000000978,0.2511097952984158
1.6,4.0,5.0,closed_33,20,1,0.7820069204152249,8425.0,14809,2424240.0,733.3000000000982,0.1715343753030222
1.6,4.0,10.0,open_33,2,0,0.07388137356919876,0.0,5729,242424.00000000003,618.000000000072,-0.3668906570821422
1.6,4.0,10.0,open_33,2,1,0.047866805411030174,0.0,5596,242424.00000000003,618.000000000072,-0.3941316978777957
1.6,4.0,10.0,open_33,5,0,0.15816857440166493,0.0,13944,606060.0,625.4000000000736,-0.2830409097703618
1.6,4.0,10.0,open_33,5,1,0.1404786680541103,0.0,13972,606060.0,618.000000000072,-0.3010948612418263
1.6,4.0,10.0,open_33,10,0,1.0,23350.0,21679,1053314.139832792,529.5000000000518,0.2956427585063744
1.6,4.0,10.0,open_33,10,1,1.0,23425.0,23047,1115669.5751115251,560.7000000000589,0.28654993547894936
1.6,4.0,10.0,open_33,20,0,1.0,23275.0,31670,1534459.1930121193,386.2000000000193,0.326772116277798
1.6,4.0,10.0,open_33,20,1,1.0,23725.0,23036,1120840.6704177894,283.0999999999959,0.348976609502445
1.6,4.0,10.0,partial_33,2,0,0.08427672955974842,0.0,3228,242424.00000000003,720.8000000000953,-0.35406756313962773
1.6,4.0,10.0,partial_33,2,1,0.08930817610062892,0.0,1208,242424.00000000003,732.8000000000981,-0.3384826326909617
