attract_gain,drone_repel_gain,drone_repel_range,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.0,10.0,4.0,closed_33,2,0,0.43771626297577854,0.0,2184,242424.00000000003,706.200000000092,0.024416668757021392
1.0,10.0,4.0,closed_33,2,1,0.4688581314878893,25.0,2311,242424.00000000003,714.5000000000939,0.05538187511149115
1.0,10.0,4.0,closed_33,5,0,0.8719723183391004,1000.0,5582,606060.0,713.0000000000936,0.4316105322619792
1.0,10.0,4.0,closed_33,5,1,0.7629757785467128,1625.0,6820,606060.0,717.0000000000945,0.303014940647927
1.0,10.0,4.0,closed_33,10,0,1.0,4625.0,9475,840790.6468289357,483.7000000000415,0.5210335023255743
1.0,10.0,4.0,closed_33,10,1,1.0,7575.0,14056,1127027.8379444135,640.300000000077,0.4202783975123648
1.0,10.0,4.0,closed_33,20,0,1.0,9175.0,3366,274797.515166759,75.2,0.5371077198569143
1.0,10.0,4.0,closed_33,20,1,0.9965397923875432,12100.0,29431,2424240.0,706.7000000000921,0.30664293159226574
2.0,2.0,1.5,open_33,2,0,0.05827263267429761,0.0,4948,242424.00000000003,630.7000000000749,-0.3828144976214658
2.0,2.0,1.5,open_33,2,1,0.05827263267429761,0.0,4784,242424.00000000003,634.1000000000756,-0.38270073738998156
2.0,2.0,1.5,open_33,5,0,0.4120707596253902,0.0,11958,606060.0,630.7000000000749,-0.02275736621779148
2.0,2.0,1.5,open_33,5,1,0.1987513007284079,75.0,11864,606060.0,634.1000000000756,-0.24187645373588576
2.0,2.0,1.5,open_33,10,0,1.0,13400.0,12744,679368.985988508,347.4000000000105,0.472752197356512
2.0,2.0,1.5,open_33,10,1,0.37669094693028093,575.0,23853,1212120.0,634.1000000000756,-0.07044869486928287
2.0,2.0,1.5,open_33,20,0,1.0,17800.0,5486,316863.74356848653,79.99999999999973,0.5035701864312035
2.0,2.0,1.5,open_33,20,1,1.0,16150.0,6212,353388.98763185646,89.79999999999917,0.5174713408574888
2.0,2.0,1.5,partial_33,2,0,0.2578616352201258,0.0,3492,242424.00000000003,671.6000000000842,-0.16994769967603626
2.0,2.0,1.5,partial_33,2,1,0.3433962264150943,0.0,3494,242424.00000000003,663.3000000000823,-0.07930677921862542
2.0,2.0,1.5,partial_33,5,0,0.7044025157232704,1475.0,8514,606060.0,686.4000000000875,0.2562083571879755
2.0,2.0,1.5,partial_33,5,1,0.9823899371069182,6800.0,8761,606060.0,683.2000000000868,0.4598585839411504
